Month,temp_max_daily,temp_min_daily,temp_max_extreme,temp_min_extreme,rainfall_total,rainfall_max_daily,rainy_days,sunshine_mean_daily,humidity_min,humidity_mean_24hr
2017-07-01,31,26,32.4,23.5,79.6,30.2,9,7,57,79.6
2017-06-01,31.6,25.9,33,22.2,106,29.6,10,6.3,51,80.2
2017-05-01,31.4,25.9,32.8,23.6,190,44.8,15,5.9,57,82.8
2017-04-01,31.8,25,34.4,22.8,208.6,42.8,21,5.3,50,83.5
2017-03-01,31.1,24.9,33.3,22.9,136.2,30.2,11,6.1,52,82.5
2017-02-01,30.7,24.7,32.4,22.6,158.4,31,15,7.1,59,83.2
2017-01-01,30.7,24.7,33.7,21.8,197.6,60.6,21,4.8,44,84.8
2016-12-01,31.6,24.7,33.6,23,292.6,73,23,5.1,34,72.8
2016-11-01,30.7,24.9,32.6,22.7,290.2,65.6,20,3.5,46,77.6
2016-10-01,32.1,25.2,34.6,21.6,181,75.4,16,4.6,38,72
2016-09-01,32,25.1,34.4,22.6,118.9,34,15,5.5,33,73.9
2016-08-01,31.8,26.2,33.8,22.1,139.2,30.6,15,6.7,41,74
2016-07-01,31.7,25.8,33.4,22.5,168.6,59.4,20,6.3,48,77.3
2016-06-01,31.6,26.1,33.4,22.5,162.8,67.8,13,5.4,45,77.7
2016-05-01,33,26.5,34.6,23.9,193.8,54.8,12,6.2,48,77.4
2016-04-01,33.4,26.7,35,25.3,89.8,18.2,14,7,46,75.6
2016-03-01,33.1,26.6,34.1,25.4,6.2,2.4,6,8,47,74.7
2016-02-01,31.1,25.6,32.7,23.3,186,71.8,10,6.5,55,78.8
2016-01-01,31.8,26,32.8,22.9,126.6,39.6,15,7.2,55,79.6
2015-12-01,31.5,25,33.1,22.5,302,40.4,19,5.3,49,81.1
2015-11-01,32.1,25.5,33.6,23.7,72.6,25.8,13,4.8,47,79.1
2015-10-01,32.2,26.1,33.6,21.9,87.2,28.6,9,4.7,35,75.4
2015-09-01,31.7,26.5,33.2,23.1,61.6,18.4,8,4.3,40,75
2015-08-01,31.2,26,33.1,22.6,185.8,63.2,11,6.1,40,76.7
2015-07-01,31.9,26.7,32.7,22.1,116.8,45.8,13,7.1,51,74.9
2015-06-01,32,26.6,34.3,24.2,95.8,28.4,10,6.7,42,75.8
2015-05-01,32.2,26.4,34.2,24,89,22.2,12,5.8,46,78.9
2015-04-01,33.2,25.9,34.4,24,73.2,18.8,13,7.2,48,77.1
2015-03-01,32.5,25.5,34.4,23.4,84.4,46,5,7.3,47,75.8
2015-02-01,31.3,24.4,33.6,23.1,18.8,10.8,6,7.3,49,75.4
2015-01-01,30.7,24.6,32.4,23.3,79.6,33.6,6,7.4,49,77.6
2014-12-01,30.6,24.7,33.6,22.4,245.6,48.2,17,3.7,51,82.6
2014-11-01,31.6,24.8,33.4,22.2,250.8,64.4,23,5.4,53,82.4
2014-10-01,32.1,25.7,34.1,24,120,32.8,10,6,40,77
2014-09-01,31.8,25.7,33.2,22.4,83.6,34.6,9,7,37,75.6
2014-08-01,30.4,25.2,31.9,22,241,44.2,20,4.5,53,79.7
2014-07-01,31.6,25.8,33.2,21.1,148.6,29,15,5.5,53,78.3
2014-06-01,32.1,26.3,33.6,23,71.4,18.8,11,6,45,77.5
2014-05-01,32.1,25.8,33.8,23,125.8,22.4,18,5.8,48,80.2
2014-04-01,32.4,25.5,34.5,22.8,110,28.8,17,5.7,44,80
2014-03-01,32.8,25.1,34.4,23.6,66,52.6,6,8,38,76
2014-02-01,31.9,24.5,33.8,22.4,0.2,0.2,1,8.8,43,74.5
2014-01-01,29.6,24,31.8,22.4,75.4,31.2,5,5.3,49,78.5
2013-12-01,30.2,24.1,33.7,21.2,348.2,119.8,21,3.5,45,85.8
2013-11-01,31.3,24.5,32.9,22.9,292.4,44,22,4.5,51,84.6
2013-10-01,31.4,24.6,33.2,20.9,285.4,139.8,19,6.3,42,79.9
2013-09-01,30.6,24.8,32.9,21.9,257,52.6,19,4.6,48,81.3
2013-08-01,31,25.1,32.8,21.6,165.6,43.2,15,6.1,50,79
2013-07-01,31.1,25.2,33.5,22.9,174.6,37.4,15,5.7,43,79.9
2013-06-01,32.6,25.9,34.5,22.6,111.4,22.4,12,6.4,36,74.6
2013-05-01,31.8,25.6,33.9,22.9,211.4,46.2,17,5.4,45,83.1
2013-04-01,32.1,25.3,34.9,22.1,159.4,41.6,19,5.2,46,82.7
2013-03-01,32.4,25.6,33.8,23.9,85.8,29.6,10,7.5,48,80.4
2013-02-01,30.1,24.3,32.5,21.5,395.2,95.2,22,4,54,86.9
2013-01-01,30.8,24.6,35.2,21.6,262,73,15,6,42,82.1
2012-12-01,30.6,24.4,32.2,22.2,363.4,78.8,22,3.6,61,87
2012-11-01,31.4,24.7,32.8,23.4,208.2,49.2,22,4.4,51,85.4
2012-10-01,31.7,25.2,33.1,23.5,122.2,22.6,13,5.9,51,81.3
2012-09-01,31.3,25.3,32.7,22.5,107.6,35.8,10,5.6,49,79.7
2012-08-01,31,25.4,32.7,23.1,119,31,12,6.1,54,79.8
2012-07-01,30.8,25.3,32.1,22.9,130.8,35.4,17,6.2,48,81.1
2012-06-01,31.6,26.3,32.7,22.8,53,38.2,8,6,49,79
2012-05-01,31.7,24.8,33.7,22,292,79.2,19,5.6,52,83.1
2012-04-01,31.4,24.8,32.9,21.9,260.6,48.4,20,5.8,54,85.1
2012-03-01,31.1,24.4,33.2,21.1,313.4,92.3,21,4.2,58,87.3
2012-02-01,31.1,24.8,32.9,22.7,83.6,38.4,11,7,55,85.6
2012-01-01,30.6,24.3,32.5,21.5,106.1,26.2,16,6,59,87.3
2011-12-01,29.9,24.5,32.3,22.8,284.6,87.4,21,3.3,57,88.4
